   St.   E_TM     N_TM       Y_GK         X_GK
  168   509089   108472   509459.199   107986.666
  169   513636   103422   514006.267   102936.864
  170   518184    98371   518554.335    97886.058
  171   522731    93321   523101.463    92836.117
  172   527279    88270   527649.574    87785.200
  173   531826    83220   532196.604    82735.330
  174   536374    78169   536744.764    77684.377
  175   529726    76756   530096.849    76271.184
  176   525179    81807   525549.674    81322.185
  177   520631    86857   521001.652    86372.114
  178   516084    91908   516454.603    91423.049
  179   511536    96958   511906.482    96472.881
  180   506988   102009   507358.337   101523.732
  181   502441   107059   502811.280   106573.534
  182   497893   112110   498263.159   111624.441
  183   493346   117161   493716.062   116675.287
  184   488798   122211   489168.212   121725.034
  185   484251   127262   484621.090   126775.748
  186   479703   132312   480073.004   131825.673
  187   475156   137363   475525.892   136876.470
  188   470608   142413   470977.855   141926.255
  189   463961   141000   464331.021   140513.143
  190   468508   135950   468878.027   135463.342
  191   473056   130899   473426.056   130412.527
  192   477603   125849   477973.149   125362.574
  193   482151   120798   482521.294   120311.772
  194   486698   115748   487068.307   115261.925
  195   491246   110697   491616.314   110211.181
  196   495793   105646   496163.388   105160.348
  197   500341   100596   500711.476   100110.519
  198   504888    95545   505258.555    95059.737
  199   509436    90495   509806.648    90009.811
  200   513983    85444   514353.777    84959.004
  201   518531    80394   518901.816    79909.114
  202   523078    75343   523448.915    74858.006
  203   527626    70293   527997.073    69808.204
  204   525526    63829   525897.383    63344.088
  205   520978    68880   521349.245    68395.118
  206   516431    73930   516802.154    73445.033
  207   511883    78981   512254.047    78496.006
  208   507336    84031   507706.940    83545.841
  209   502788    89082   503158.734    88596.695
  210   498241    94132   498611.888    93646.614
  211   493693    99183   494063.652    98697.354
  212   489146   104233   489516.616   103747.072
  213   484598   109284   484968.461   108798.057
  214   480051   114335   480421.437   113848.850
  215   475503   119385   475873.377   118898.617
  216   470956   124436   471326.277   123949.652
  217   466408   129486   466778.154   128999.383
  218   461860   134537   462230.131   134050.242
  219   457313   139587   457683.121   139100.019
  220   450665   138174   451035.196   137686.857
  221   455213   133124   455583.212   132637.037
  222   459760   128073   460130.255   127586.233
  223   464308   123023   464678.306   122536.394
  224   468855   117972   469225.417   117485.493
  225   473403   112922   473773.496   112435.589
  226   477950   107871   478320.675   107384.875
  227   482498   102820   482868.753   102334.005
  228   487045    97770   487415.791    97284.222
  229   491593    92719   491963.837    92233.445
  230   496141    87669   496511.955    87183.542
  231   500688    82618   501059.077    82132.653
  232   505236    77568   505607.139    77082.864
  233   509783    72517   510154.269    72031.903
  234   514331    67467   514702.357    66981.957
  235   518878    62416   519249.370    61930.946
  236   523426    57366   523797.474    56880.944
  237   521326    50902   521697.588    50416.932
  238   516778    55953   517149.558    55467.894
  239   512231    61003   512602.558    60517.906
  240   507683    66054   508054.432    65568.846
  241   503135    71104   503506.379    70618.847
  242   498588    76155   498959.297    75669.965
  243   494040    81205   494411.104    80719.714
  244   489493    86256   489864.031    85770.495
  245   484945    91306   485315.949    90820.276
  246   480398    96357   480768.924    95871.008
  247   475850   101407   476220.898   100920.836
  248   471303   106458   471673.792   105971.654
  249   466755   111509   467125.634   111022.513
  250   462208   116559   462578.525   116072.380
  251   457660   121610   458030.446   121123.234
  252   453113   126660   453483.391   126173.030
  253   448565   131711   448935.359   131223.841
  254   444018   136761   444388.259   136273.647
  255   439470   141812   439840.215   141324.428
  256   428275   145449   428645.357   144961.064
  257   432822   140399   433192.375   139911.241
  258   437370   135348   437740.460   134860.462
  259   441917   130298   442287.484   129810.694
  260   446465   125247   446835.527   124759.866
  261   451013   120197   451383.606   119710.040
  262   455560   115146   455930.673   114659.228
